CID|FirstName|LastName|City|AddressLine1|SocialSecurityNumber
6636|Justin|Chen|Saint-Denis|081, boulevard du Montparnasse|2029196825
11370|Damien|Xie|Courbevoie|1, allée des Princes|1470504521
12773|Omar|Goel|Paris|1, avenue des Champs-Elysées|1000174155
3724|Bonnie|Nath|Sèvres|1, boulevard Beau Marchais|1547134024
11222|Ruben|Lopez|Roncq|1, cours Mirabeau|1841193194
7416|Tammy|Sai|Paris|1, place Beaubernard|2133952561
9936|Carolyn|Malhotra|Paris|1, place Beaubernard|2139027357
17029|Ricardo|Raji|Tremblay-en-France|1, place Beaubernard|1606120783
20304|Bradley|Chande|Colomiers|1, place de Brazaville|286048001
19784|Byron|Serrano|Lille|1, place de Brazaville|1898851721
11746|Ross|Patel|Lille|1, rue de Courtaboeuf|246931065
19961|Julie|Andersen|Versailles|1, rue de Courtaboeuf|1566462430
12203|Dawn|Deng|Paris|1, rue de Fontfroide|1699858849
1731|Lloyd|Saunders|Chatou|1, rue de l´Avenir|321242039
8364|Darrell|Goel|Morangis|1, rue de l´Avenir|454444425
15345|Jillian|Perez|Paris La Defense|1, rue de la Cavalerie|1122067375
12630|Clayton|Xie|Roncq|1, rue de la Cavalerie|236192402
6804|Tyrone|Gutierrez|Sèvres|1, rue de la Cavalerie|483310532
20401|Dwayne|Alvarez|Colombes|1, rue de la Centenaire|2007701666
17260|Bethany|Deng|Les Ulis|1, rue de la Centenaire|53855597
2754|Andy|Blanco|Lille|1, rue de la Centenaire|1952124074
12982|Jaclyn|Pal|Roubaix|1, rue de la Centenaire|639850946
9653|Ebony|Lopez|Versailles|1, rue de la Centenaire|507829777
10241|Katelyn|Green|Metz|1, rue de Maubeuge|1964225759
7267|Ann|Lopez|Morangis|1, rue de Maubeuge|595111906
7020|Zachary|Long|Paris|1, rue de Maubeuge|2004431478
18073|Jeffery|Hu|Paris|1, rue de Maubeuge|1985418824
16034|Luke|Turner|Villeneuve-d'Ascq|1, rue de Maubeuge|2140589328
17089|Shaun|Kumar|Boulogne-Billancourt|1, rue de Varenne|428357260
13958|Seth|Jenkins|Versailles|1, rue Lamarck|2088062019
14555|Mathew|Ortega|Croix|1, rue Pierre-Demoulin|2014137132
12752|Omar|Jai|Les Ulis|1, rue Pierre-Demoulin|874124759
4375|Xavier|Smith|Paris|1, rue Pierre-Demoulin|1067848248
6810|Clarence|Gao|Paris|1, rue Pierre-Demoulin|270212424
10870|Bruce|Torres|Saint Ouen|1, rue Ste-Honoré|1711169643
3039|Amanda|Long|Lebanon|10 Napa Ct.|519983693
8963|Michele|Prasad|Roissy en Brie|10, avenue du Port|348096988
3114|Evelyn|Raman|Paris|10, avenue du Président-Kennedy|1301800894
8558|Katelyn|Howard|Roubaix|10, place de Fontenoy|1909303830
13191|Edwin|Kumar|Suresnes|10, rue de l´Avenir|1292904684
16866|Russell|Raje|Saint-Denis|10, rue de la Centenaire|1512260215
11885|Tamara|Xie|Lille|10, rue de la Comédie|1716833855
13975|Joanna|Munoz|Orleans|10, rue de Maubeuge|348115746
5061|Eduardo|Mitchell|Saint Germain en Laye|10, rue des Vendangeurs|762496024
11670|Pedro|Martinez|Paris|10, rue Lafayette|1612414814
17769|Susan|Zhu|Orleans|10, rue Pierre-Demoulin|406813194
7128|Adrienne|Blanco|Sèvres|10, rue Royale|1472001640
18502|Janelle|Fernandez|Paris|100, boulevard d´Albi|568282699
17403|Karen|Ye|Paris La Defense|100, rue de la Centenaire|175503235
9152|Calvin|Deng|Pantin|100, rue des Rosiers|1707462481
20176|Phillip|Lopez|Boulogne-Billancourt|100, rue Descartes|1398199656
16402|Latoya|Rai|Paris|100, rue Jean Mermoz|93634001
16035|Jordan|Turner|Roubaix|100, rue Maillard|1334707705
6237|Christian|Shan|Haney|1000 Bidweld Street|246279732
18470|Brandi|Diaz|Paris|1001, rue des Bouchers|2107730424
15807|Troy|Sara|Hervey Bay|1002 N. Spoonwood Court|1988786014
6741|Theodore|Torres|Paris|1004, rue des Bouchers|2072926055
10578|Sierra|Wright|Colma|1005 Fremont Street|1298646355
5033|Suzanne|Ma|Cambridge|1005 Matterhorn Ct.|930646453
12175|Anna|Jones|Mill Valley|1005 Matterhorn Ct.|1105957767
12637|Sarah|Simmons|Langley|1005 Valley Oak Plaza|11446286
1722|Mandar|Samant|London|1005 Valley Oak Plaza|1499267586
15341|Jillian|Rodriguez|Colombes|1005, rue des Bouchers|1884831078
10612|Meredith|Lopez|Saint-Denis|1005, rue des Bouchers|1987593260
10447|Tabitha|Gill|Bellflower|1006 Deercreek Ln|1682386600
15356|Isaiah|Rogers|El Cajon|1007 Cardinet Dr.|1024182119
13889|Ian|Foster|Burbank|1008 Lydia Lane|1048430673
15752|Diane|Suarez|Colomiers|1009, rue des Bouchers|180013132
2954|Erick|Suri|Coffs Harbour|101 Adobe Dr|551494165
4680|Marcus|Evans|Puyallup|101 Adobe Dr|1986349141
4634|Marcus|Clark|Peterborough|101, avenue de la Gare|1899846335
5052|Andres|Shen|Roissy en Brie|101, avenue de la Gare|687633359
2812|Alfredo|Dominguez|Colombes|101, avenue des Champs-Elysées|226617755
12607|Clayton|Gao|Versailles|101, avenue Reille|870883065
8402|Michele|Shan|Roubaix|101, rue de Cambrai|1494119259
8505|Sharon|Xie|Paris|101, rue Léo Delibes|1337578242
5562|Ronnie|Li|Saint Germain en Laye|1010, avenue de l´ Union Centrale|1922729466
12504|Alejandro|Ma|Orleans|1010, impasse Notre-Dame|828842700
15302|Paula|Rubio|Berkeley|1011 Yolanda Circle|750505892
12051|Julian|Isla|N. Vancouver|1011 Yolanda Circle|386307752
15980|Henry|Fernandez|Pantin|1011, avenue Foch|1448906412
19135|Casey|Martin|Port Macquarie|1013 Buchanan Rd|905474557
19392|Victoria|Murphy|Yakima|1013 Buchanan Rd|1228159262
16549|Jesse|Scott|Bremerton|1013 Holiday Hills Dr.|1484618052
17597|Naomi|Sanz|Gateshead|1013 Holiday Hills Dr.|441801632
11246|Isabella|Lee|Metchosin|1015 Lynwood Drive|815579706
2835|Sydney|Rogers|Burbank|1016 Park Avenue|1125260507
6887|Marvin|Hernandez|Rhodes|1019 Book Road|1585154573
16445|Carlos|Carter|Woodland Hills|1019 Buchanan Road|1971564483
9862|Rebekah|Garcia|Coffs Harbour|1019 Candy Rd.|914919493
12211|Dawn|Yuan|Berkeley|1019 Carletto Drive|1136329694
3416|Haley|Henderson|Sedro Woolley|1019 Chance Drive|889263151
18691|Jacob|Taylor|Lake Oswego|1019 Kenwal Rd.|1977333485
18459|Larry|Suarez|Milton Keynes|102 Vista Place|1416530899
5980|Nathan|Yang|Santa Monica|102 Vista Place|1980726766
3332|Gabrielle|Wood|Bremerton|1020 Book Road|1285505902
16365|Katrina|Anand|Matraville|1020 Carletto Drive|1389580950
10033|Marie|Kapoor|Croix|1020, quai de Grenelle|1367905359
6432|Ramon|Guo|Versailles|1020, quai de Grenelle|1487837674
278|Garrett|Vargas|Calgary|10203 Acorn Avenue|1015561801
2686|Natalie|Reed|Lebanon|1023 Hawkins Street|410294210
18062|Abby|Martinez|Townsville|1023 Hawkins Street|679977117
3124|Evelyn|Martinez|Oxford|1023 Riviera Way|1014197411
12944|Dakota|Ross|Colma|1024 Walnut Blvd.|1685243380
19995|Nicole|Diaz|Kirkland|1025 R St.|1213601293
15530|Pamela|Chapman|Townsville|1025 Yosemite Dr.|2035565315
12737|Kayla|Griffin|Lynnwood|1026 Mt. Wilson Pl.|1767844923
9276|Sydney|Evans|Oregon City|1028 Green View Court|1642072688
17719|Nathan|Walker|Issaquah|1028 Indigo Ct.|1246893901
10430|Tabitha|Moreno|Warrnambool|1028 Indigo Ct.|2122843746
15240|Mason|Sanchez|Burlingame|1028 Royal Oak Rd.|1285940090
1743|Alice|Serventi|Paris La Defense|103, avenue des Champs-Elysées|550592608
8931|Gretchen|Rivas|Lille|103, rue de Fontfroide|710549330
8897|Katelyn|Rivera|Bury|1030 Ambush Dr.|1885166347
2836|Alfredo|Ortega|North Ryde|1032 Buena Vista|114036751
9763|Andrea|Campbell|Stoke-on-Trent|1032 Coats Road|2066534399
7916|Levi|Madan|Colombes|1032 Cowell Road|547109407
20144|Ronald|Gonzalez|Paris|1035, boulevard du Montparnasse|497539658
8332|Arianna|Ramirez|Port Orchard|1036 Mason Dr|1523339764
16807|Mario|Sharma|Port Macquarie|1039 Adelaide St.|1741719936
13628|Edward|Wood|West Covina|1039 Adelaide St.|464668433
19642|Grace|Henderson|Drancy|1039, rue Mazagran|828669553
17070|Johnny|Rai|Springwood|104 Hilltop Dr.|1715011665
12234|Emily|Moore|Portland|104 Kaski Ln.|434834300
12153|Taylor|Martin|Newton|1040 Greenbush Drive|1151670536
11144|Roy|Ruiz|London|1040 Northridge Road|1847376422
14937|Randall|Martin|Newcastle|1042 Hooftrail Way|650947633
11025|Marshall|Sun|Cincinnati|1044 San Carlos|1411971526
10071|Gabriella|Perez|Torrance|1045 Lolita Drive|1062727069
18710|Erika|Gill|Townsville|1045 Lolita Drive|388518912
12526|Samantha|Jenkins|Shawnee|1046 Cloverleaf Circle|1473894762
6619|Justin|Simmons|Colma|1046 San Carlos Avenue|376673618
19903|Kathryn|Shen|North Sydney|1047 Las Quebradas Lane|688412359
15941|Hunter|Roberts|Haney|1048 Burwood Way|2129467140
8515|Sharon|Yuan|Hervey Bay|1048 Burwood Way|155401684
11840|Victoria|Lee|Walla Walla|1048 Las Quebradas Lane|823159095
15359|Brenda|Arun|Wollongong|1048 Las Quebradas Lane|1462513984
16781|Alex|Scott|Port Macquarie|105 Clark Creek Lane|32489386
3621|Yolanda|Luo|Bellingham|105 Woodruff Ln.|1488093362
16731|Martin|Vance|London|1050 Creed Ave|1983213882
7798|Paige|Alexander|Langley|1050 Greenhills Circle|267206001
17902|Greg|Taylor|El Cajon|1052 Stanford Street|136930445
10915|Alexandra|Allen|Warrnambool|1053 Rain Drop Circle|825601514
6425|Jonathan|Diaz|Burbank|1054 Vine Circle|1265878199
10953|Arthur|Jiménez|York|1054 Vloching Circle|1498311825
10686|Kristi|Sai|Paris|1055, rue Basse-du-Rocher|1413888020
12217|Dawn|Lal|Lieusaint|10571, rue de Varenne|902717915
10974|Kaitlyn|Young|Westminster|1058 Kirker Pass Road|1022148542
17775|Zachary|Lee|Bellingham|1058 Miwok Way|105466192
12475|Sarah|Jackson|Woodburn|1058 Park Blvd.|1892733624
20281|Kelvin|She|W. York|1059 Kirkwood Ct|1452387611
7435|Ana|Ross|Glendale|1059 Stonewood Ct|1935579826
19914|Nicole|Howard|Burbank|1060 Mcelroy Court|1349103789
15424|Candace|Raman|South Melbourne|1060 Mcelroy Court|1767156382
19203|Brianna|Rivera|Coronado|1061 Buskrik Avenue|2017892060
204|Gabe|Mares|Edmonds|1061 Buskrik Avenue|1501247680
6719|Theodore|Ruiz|Bracknell|1061 Carzino Ct|1930206625
13101|Louis|Andersen|Bremerton|1061 Delta Fair Blvd.|1115335310
18399|William|Miller|Lakewood|1063 Pinehurst Court|1152029332
9171|Calvin|Shan|Warrington|1064 Almond Drive|1394650834
14005|Bryce|James|Langley|1064 Armstrong Rd.|1765790472
12448|Jon|Nara|South Melbourne|1064 Armstrong Rd.|1887778610
18979|Nicholas|Jones|Lebanon|1064 Slavio|831682615
78|Reuben|D'sa|Seattle|1064 Slow Creek Road|1093094238
13490|Colin|Yuan|Darlinghurst|1064 William Way|561227291
5507|Jessie|Chen|Maidenhead|1065 Almond St.|392566001
13961|Seth|Powell|Santa Cruz|1065 Almond St.|399357239
12760|Omar|Chande|Burien|1065 Coachman Pl.|821837463
15245|Isaac|Sanchez|La Jolla|1068 N Sweetbriar Court|1222597398
13153|Spencer|Patterson|Daly City|1069 Ahwanee Lane|1215806490
18298|Alexander|Jackson|Puyallup|1069 Bynum Way|633901526
14533|Isaiah|Ramirez|Hobart|1069 Central Blvd.|556854302
19921|Kathryn|Raje|Paris|1069, boulevard du Montparnasse|1983859561
17114|Luis|Wright|Glendale|107 Woodside Court|582603743
14166|Jeremy|Brooks|Chatou|107, rue des Bouchers|1846491279
20387|Julia|Wood|Port Macquarie|1073 Bonnie Lane|1332164230
9642|Jennifer|Phillips|Lake Oswego|1074 Lori Drive|1490715946
19720|Cynthia|Suri|Oxford|1075 San Miguel Circle|1689985264
18646|Tyler|Walker|Downey|1077 Pheasant Drive|94507682
10333|Amanda|Baker|Imperial Beach|1077 Willow Court|1032074010
17101|Jason|King|Beaverton|1078 Aloe Vera Road|736004362
255|Gordon|Hee|Bellevue|108 Lakeside Court|2003849451
4578|Richard|Baker|Corvallis|108 Lakeside Court|1713190847
4427|Xavier|Green|Metchosin|1080 Crestwood Circle|1446719681
12355|Lacey|Wang|Rockhampton|1080 Crestwood Circle|1532436046
12570|Clayton|Zhang|Saint Ouen|1080, quai de Grenelle|1281082644
16786|Melody|Hernandez|Cranbourne|1082 Crivello Avenue|1978353258
6137|Noah|Jai|Glendale|1082 Crivello Avenue|683650384
5540|Caleb|Jenkins|Runcorn|1082 Selena Court|370761905
15258|Juan|Sanchez|Chula Vista|1084 Meadow Glen Way|338558826
2572|Dustin|Rai|Oxford|1084 Meadow Glen Way|212685043
